date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:27:29	4940/4940	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Sep%202017%2021:27:28%20GMT	http://localhost:57018/robots.txt		(from )
14:27:29	3004/3004	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2021:27:28%20GMT	http://localhost:57018/	C:/Users/christ/Desktop/docs/a/localhost_57018/index.html	(from )
14:27:29	96579/96579	---M-Z	200	added ('OK')	text/css	date:Mon,%2011%20Sep%202017%2021:27:29%20GMT	http://localhost:57018/Content/css?v=m8KdMFOCcNeZrATLbCQ_9gxex1_Ma7rE5iJzJXojUIk1	C:/Users/christ/Desktop/docs/a/localhost_57018/Content/css8d3c.css	(from http://localhost:57018/)
14:27:29	10431/10431	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2021:27:29%20GMT	http://localhost:57018/Help	C:/Users/christ/Desktop/docs/a/localhost_57018/Help.html	(from http://localhost:57018/)
14:27:30	22095/22095	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2011%20Sep%202017%2021:27:29%20GMT	http://localhost:57018/bundles/modernizr?v=w9fZKPSiHtN4N4FRqV7jn-3kGoQY5hHpkwFv5TfMrus1	C:/Users/christ/Desktop/docs/a/localhost_57018/bundles/modernizr5761	(from http://localhost:57018/)
14:27:32	31069/31069	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2011%20Sep%202017%2021:27:30%20GMT	http://localhost:57018/bundles/bootstrap?v=2Fz3B0iizV2NnnamQFrx-NbYJNTFeBJ2GM05SilbtQU1	C:/Users/christ/Desktop/docs/a/localhost_57018/bundles/bootstrap1b68	(from http://localhost:57018/)
14:27:32	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22907cfeb3891bd31:0%22	http://localhost:57018/fonts/glyphicons-halflings-regular.eot	C:/Users/christ/Desktop/docs/a/localhost_57018/fonts/glyphicons-halflings-regular.eot	(from http://localhost:57018/Content/css?v=m8KdMFOCcNeZrATLbCQ_9gxex1_Ma7rE5iJzJXojUIk1)
14:27:33	16448/16448	---M--	200	added ('OK')	font/x-woff	etag:%22ea4d2b4891bd31:0%22	http://localhost:57018/fonts/glyphicons-halflings-regular.woff	C:/Users/christ/Desktop/docs/a/localhost_57018/fonts/glyphicons-halflings-regular.woff	(from http://localhost:57018/Content/css?v=m8KdMFOCcNeZrATLbCQ_9gxex1_Ma7rE5iJzJXojUIk1)
14:27:33	63384/63384	---M--	200	added ('OK')	image/svg+xml	etag:%22dc9f0b4891bd31:0%22	http://localhost:57018/fonts/glyphicons-halflings-regular.svg	C:/Users/christ/Desktop/docs/a/localhost_57018/fonts/glyphicons-halflings-regular.svg	(from http://localhost:57018/Content/css?v=m8KdMFOCcNeZrATLbCQ_9gxex1_Ma7rE5iJzJXojUIk1)
14:27:35	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22907cfeb3891bd31:0%22	http://localhost:57018/fonts/glyphicons-halflings-regular.eot?	C:/Users/christ/Desktop/docs/a/localhost_57018/fonts/glyphicons-halflings-regulard41d.eot	(from http://localhost:57018/Content/css?v=m8KdMFOCcNeZrATLbCQ_9gxex1_Ma7rE5iJzJXojUIk1)
14:27:35	2444/2444	---M-Z	200	added ('OK')	text/css	etag:%225c1fc6b2891bd31:0%22	http://localhost:57018/Areas/HelpPage/HelpPage.css	C:/Users/christ/Desktop/docs/a/localhost_57018/Areas/HelpPage/HelpPage.css	(from http://localhost:57018/Help)
14:27:35	17273/17273	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2021:27:35%20GMT	http://localhost:57018/Help/Api/GET-api-organizations-organizationId-report-transactions_page_size_startDate_endDate_passportId_accountId_siteId_machineId	C:/Users/christ/Desktop/docs/a/localhost_57018/Help/Api/GET-api-organizations-organizationId-report-transactions_page_size_startDate_endDate_passportId_accountId_siteId_machineId.html	(from http://localhost:57018/Help)
14:27:36	10802/10802	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2021:27:35%20GMT	http://localhost:57018/Help/Api/GET-api-organizations-organizationId-report-transactions-transactionId	C:/Users/christ/Desktop/docs/a/localhost_57018/Help/Api/GET-api-organizations-organizationId-report-transactions-transactionId.html	(from http://localhost:57018/Help)
14:27:36	12820/12820	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2021:27:35%20GMT	http://localhost:57018/Help/Api/GET-api-organizations-orgID-machines-mchID-inventory_organizationId_machineId_page_size	C:/Users/christ/Desktop/docs/a/localhost_57018/Help/Api/GET-api-organizations-orgID-machines-mchID-inventory_organizationId_machineId_page_size.html	(from http://localhost:57018/Help)
14:27:36	12589/12589	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2021:27:35%20GMT	http://localhost:57018/Help/Api/GET-api-organizations-orgID-machines-mchID-inventory-inventoryID_organizationId_machineId_machineInventoryId	C:/Users/christ/Desktop/docs/a/localhost_57018/Help/Api/GET-api-organizations-orgID-machines-mchID-inventory-inventoryID_organizationId_machineId_machineInventoryId.html	(from http://localhost:57018/Help)
14:27:37	10466/10466	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Sep%202017%2021:27:35%20GMT	http://localhost:57018/Help/Api/GET-api-organizations-orgID-passports-passportId_organizationId	C:/Users/christ/Desktop/docs/a/localhost_57018/Help/Api/GET-api-organizations-orgID-passports-passportId_organizationId.html	(from http://localhost:57018/Help)
